Year,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,INM_INM-CM5-0_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,KIOST_KIOST-ESM_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_HadGEM3-GC31-LL_r1i1p1f3,NCC_NorESM2-MM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CAS_FGOALS-g3_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,INM_INM-CM4-8_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,MIROC_MIROC6_r1i1p1f1
1850,-0.36669,-0.25744,-0.26682,-0.43351,-0.13474,0.12796,0.00738,-0.57825,-0.02694,0.00552,0.09700,-0.05621,-0.19829,-0.76807,-0.44296,-0.02977,-0.20144,-0.30465,-0.39193,-0.41005,-0.22619,-0.28340
1851,-0.45827,-0.09838,-0.29479,-0.47640,-0.08226,0.13655,-0.07285,-0.64777,0.03161,0.04608,0.11671,0.12410,-0.40398,-0.58680,-0.33952,-0.02041,-0.24714,-0.32931,-0.41121,-0.54354,-0.31186,-0.32130
1852,-0.56698,-0.17209,-0.32752,-0.46741,-0.16285,0.24292,-0.14070,-0.60563,-0.07375,0.12684,0.01234,0.04900,-0.33439,-0.59752,-0.43884,0.13590,-0.26945,-0.30793,-0.40450,-0.46194,-0.10316,-0.29861
1853,-0.55624,-0.35570,-0.28772,-0.40876,-0.26660,0.29086,-0.24671,-0.56910,-0.17897,0.01208,-0.01830,-0.08335,-0.32593,-0.52247,-0.45763,0.03190,-0.25845,-0.32318,-0.05620,-0.37828,-0.05629,-0.24630
1854,-0.36432,-0.34170,-0.30312,-0.22947,-0.30661,0.21366,-0.41088,-0.58178,-0.01176,-0.14887,0.24380,-0.08261,-0.37958,-0.42781,-0.43781,0.10121,-0.25492,-0.35692,-0.19088,-0.31084,-0.26622,0.01648
1855,-0.54216,-0.10752,-0.23112,-0.22352,-0.12689,0.08594,-0.20481,-0.50191,0.00314,0.08584,0.24317,-0.36086,-0.41861,-0.51649,-0.29472,-0.12606,-0.27572,-0.38654,-0.33442,-0.47715,-0.34138,0.12063
1856,-0.62322,-0.12515,-0.25108,-0.39559,-0.12762,0.27964,-0.28474,-0.61694,-0.02913,0.19025,-0.10628,-0.19395,-0.43420,-0.39192,-0.23463,-0.09727,-0.24479,-0.30728,-0.39978,-0.35143,-0.11616,-0.34263
1857,-0.42577,-0.07469,-0.24452,-0.52529,-0.19858,0.29872,-0.68493,-0.63519,-0.02547,0.16667,-0.13598,-0.10529,-0.45698,-0.43306,-0.34556,-0.03701,-0.10053,-0.31510,-0.32130,-0.56942,-0.06712,-0.29836
1858,-0.67635,-0.15363,-0.25161,-0.41324,-0.21797,0.28059,-0.55121,-0.70808,0.04333,0.08657,-0.14110,-0.27900,-0.39394,-0.49578,-0.35104,-0.12096,-0.13131,-0.31315,-0.33299,-0.43254,-0.22625,-0.25516
1859,-0.69437,-0.17729,-0.26485,-0.39314,-0.04642,0.32010,-0.59747,-0.62266,0.08860,0.10833,-0.11305,0.02074,-0.21177,-0.37963,-0.26530,-0.00915,-0.18892,-0.40150,-0.28112,-0.52056,-0.17593,-0.11988
