Year,INM_INM-CM5-0_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,MOHC_HadGEM3-GC31-MM_r1i1p1f3,NCC_NorESM2-MM_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CCCR-IITM_IITM-ESM_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,NUIST_NESM3_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CCCma_CanESM5_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,AS-RCEC_TaiESM1_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2
1850,-0.26682,-0.43351,0.12796,-0.02694,0.09700,-0.20144,-0.41005,-0.22619,-0.13474,-0.39193,-0.44296,-0.49432,-0.24082,-0.28340,0.00738,-0.46156,-0.35028,-0.57825,-0.33184,-0.05621,-0.08407,-0.53234,0.00552,-0.02977,-0.30465,-0.76807,-0.25744
1851,-0.29479,-0.47640,0.13655,0.03161,0.11671,-0.24714,-0.54354,-0.31186,-0.08226,-0.41121,-0.33952,-0.43733,-0.09442,-0.32130,-0.07285,-0.33276,-0.53433,-0.64777,-0.58544,0.12410,0.04559,-0.56194,0.04608,-0.02041,-0.32931,-0.58680,-0.09838
1852,-0.32752,-0.46741,0.24292,-0.07375,0.01234,-0.26945,-0.46194,-0.10316,-0.16285,-0.40450,-0.43884,-0.56949,-0.17971,-0.29861,-0.14070,-0.45482,-0.41058,-0.60563,-0.51439,0.04900,0.05414,-0.51292,0.12684,0.13590,-0.30793,-0.59752,-0.17209
1853,-0.28772,-0.40876,0.29086,-0.17897,-0.01830,-0.25845,-0.37828,-0.05629,-0.26660,-0.05620,-0.45763,-0.28917,-0.30725,-0.24630,-0.24671,-0.39589,-0.47259,-0.56910,-0.36248,-0.08335,0.07104,-0.46554,0.01208,0.03190,-0.32318,-0.52247,-0.35570
1854,-0.30312,-0.22947,0.21366,-0.01176,0.24380,-0.25492,-0.31084,-0.26622,-0.30661,-0.19088,-0.43781,-0.33573,-0.22963,0.01648,-0.41088,-0.37632,-0.49102,-0.58178,-0.50069,-0.08261,0.08014,-0.54699,-0.14887,0.10121,-0.35692,-0.42781,-0.34170
1855,-0.23112,-0.22352,0.08594,0.00314,0.24317,-0.27572,-0.47715,-0.34138,-0.12689,-0.33442,-0.29472,-0.33544,-0.27817,0.12063,-0.20481,-0.40375,-0.33284,-0.50191,-0.55142,-0.36086,-0.01017,-0.48126,0.08584,-0.12606,-0.38654,-0.51649,-0.10752
1856,-0.25108,-0.39559,0.27964,-0.02913,-0.10628,-0.24479,-0.35143,-0.11616,-0.12762,-0.39978,-0.23463,-0.24409,-0.25820,-0.34263,-0.28474,-0.42131,-0.24317,-0.61694,-0.50198,-0.19395,0.15698,-0.46900,0.19025,-0.09727,-0.30728,-0.39192,-0.12515
1857,-0.24452,-0.52529,0.29872,-0.02547,-0.13598,-0.10053,-0.56942,-0.06712,-0.19858,-0.32130,-0.34556,-0.21756,-0.24066,-0.29836,-0.68493,-0.33000,-0.25745,-0.63519,-0.50966,-0.10529,0.13248,-0.46631,0.16667,-0.03701,-0.31510,-0.43306,-0.07469
1858,-0.25161,-0.41324,0.28059,0.04333,-0.14110,-0.13131,-0.43254,-0.22625,-0.21797,-0.33299,-0.35104,-0.26616,-0.12830,-0.25516,-0.55121,-0.38391,-0.43976,-0.70808,-0.53233,-0.27900,0.22220,-0.50369,0.08657,-0.12096,-0.31315,-0.49578,-0.15363
1859,-0.26485,-0.39314,0.32010,0.08860,-0.11305,-0.18892,-0.52056,-0.17593,-0.04642,-0.28112,-0.26530,-0.34896,-0.15115,-0.11988,-0.59747,-0.42996,-0.29944,-0.62266,-0.40539,0.02074,0.17693,-0.41582,0.10833,-0.00915,-0.40150,-0.37963,-0.17729
1860,-0.23540,-0.44519,0.24691,-0.07220,-0.03692,-0.15967,-0.59173,-0.25541,-0.19844,-0.27569,-0.33066,-0.38827,-0.22323,-0.21286,-0.46433,-0.57551,-0.30660,-0.60467,-0.44271,0.01411,0.34288,-0.48233,0.12340,-0.04152,-0.44690,-0.54524,-0.06546
